,0,0,0,1,01:29:50.785
00:00:00:00:00:00,96,0,0,1,01:29:51.294
00:00:00:00:00:00,96,0,0,1,01:29:51.800
00:00:00:00:00:00,96,0,0,1,01:29:52.304
00:00:00:00:00:00,96,0,0,1,01:29:52.808
00:00:00:00:00:00,96,0,0,1,01:29:53.312
00:00:00:00:00:00,96,0,0,1,01:29:53.816
00:00:00:00:00:00,96,0,0,1,01:29:54.320
00:00:00:00:00:00,96,0,0,1,01:29:54.824
00:00:00:00:00:00,96,0,0,1,01:29:55.328
00:00:00:00:00:00,96,0,0,1,01:29:55.832
00:00:00:00:00:00,96,0,0,1,01:29:56.336
00:00:00:00:00:00,96,0,0,1,01:29:56.840
00:00:00:00:00:00,96,0,0,1,01:29:57.344
00:00:00:00:00:00,96,0,0,1,01:29:57.848
00:00:00:00:00:00,96,0,0,1,01:29:58.352
00:00:00:00:00:00,96,0,0,1,01:29:58.856
00:00:00:00:00:00,96,0,0,1,01:29:59.360
00:00:00:00:00:00,96,0,0,1,01:29:59.864
00:00:00:00:00:00,96,0,0,1,01:30:00.368
00:00:00:00:00:00,96,0,0,1,01:30:00.872
00:00:00:00:00:00,96,0,0,1,01:30:01.376
00:00:00:00:00:00,96,0,0,1,01:30:01.880
00:00:00:00:00:00,96,0,0,1,01:30:02.384
00:00:00:00:00:00,96,0,0,1,01:30:02.888
00:00:00:00:00:00,96,0,0,1,01:30:03.392
00:00:00:00:00:00,96,0,0,1,01:30:03.896
00:00:00:00:00:00,96,0,0,1,01:30:04.400
00:00:00:00:00:00,96,0,0,1,01:30:04.904
00:00:00:00:00:00,96,0,0,1,01:30:05.408
00:00:00:00:00:00,96,0,0,1,01:30:05.912
00:00:00:00:00:00,96,0,0,1,01:30:06.416
00:00:00:00:00:00,96,0,0,1,01:30:06.920
00:00:00:00:00:00,96,0,0,1,01:30:07.424
00:00:00:00:00:00,96,0,0,1,01:30:07.928
00:00:00:00:00:00,96,0,0,1,01:30:08.432
00:00:00:00:00:00,96,0,0,1,01:30:08.936
00:00:00:00:00:00,96,0,0,1,01:30:09.440
00:00:00:00:00:00,96,0,0,1,01:30:09.944
00:00:00:00:00:00,96,0,0,1,01:30:10.448
00:00:00:00:00:00,96,0,0,1,01:30:10.952
00:00:00:00:00:00,96,0,0,1,01:30:11.456
00:00:00:00:00:00,96,0,0,1,01:30:11.960
